name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
23 Lib c,Confirmed,,0.03,0.03,0.82,0.03,0.03,,,,5000,400,400,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,28-05-2024,195,48,48,11100,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 c,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740,23,23,,,HD 134987
24 Boo b,Confirmed,,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,,,,,2018,07-08-2023,210,130,100,2450008.6,7.9,10.1,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Bo&ouml;,217.1625,49.84500003,5.6,,,,,100,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,G3IV,6.92,4.8,4.8,4893,15,15,,,
24 Sex b,Confirmed,,0.11,0.11,1.84,0.11,0.11,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,02-10-2021,9.2,165.4,277.9,2454762,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.8682058,-0.902243676,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
24 Sex c,Confirmed,,0.2,0.2,1.52,0.2,0.2,,,,883,14,32,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,02-10-2021,220.5,320.9,182.2,2454930,96.5,96.5,,,,,,,,,,,,,,,,,,,23.5,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.8682058,-0.902243676,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
2M 1253+2734 b,Confirmed,,0.2,1.8,8.3,0.2,1.8,,,,24.31,0.021,0.021,,,,0.681,0.053,0.053,,,,,2021,08-02-2022,,,,,,,,,,,,,,,,,,,,,,,,,1070,170,1450,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M 1253+2734,193.2541667,27.57194446,,,,,,,,,,,,,,,,,,,,,,,,,,,
2M1510 (AB)b,Confirmed,0.031,,,,,,,,,100,,,,,,,,,90,,,,2025,18-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M1510(AB),227.699375,-28.30486389,,,,,,35.51,0.02,0.02,,,,0.066,,,,,,,,,,,,,,,2MASS J15104786-2818174
2MASS J0437+2651 b,Confirmed,4,,,,,,,,,,,,118,1.3,1.3,,,,,,,,2021,17-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,,,,,,Published in a refereed paper,Imaging,Spectrum,,2M 0437 b,,2MASS J0437+2651,69.3405544,26.850296,15.7,,,,,128.1,0.5,0.5,0.01,0.05,0.05,0.0165,0.0015,0.0015,0.84,0.11,0.11,M4V,0.0025,0.0004,0.0004,3100,100,100,,,"2M0437A, 2MASS J04372171+2651014"
2MASS J0558-4501 b,Confirmed,9,3,3,,,,,,,,,,1043,,,,,,,,,,2024,06-02-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J05581644-4501559 b, 2MASS J05581644-4501559 B",,2MASS J0558-4501,89.56833333,-45.03247222,,,,,,,,,,,,,,,,,,M4V,,,,,,,,,2MASS J05581644-4501559 A
2MASS J1155-7919 b,Confirmed,10,,,,,,,,,,,,582,,,,,,,,,,2020,27-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14,,,,,101.15,0.5,0.5,,,,,,,,,,M3,0.005,,,,,,,,
2MASS J1252+2735 b,Confirmed,,0.64,0.21,6.88,0.64,0.21,,,,35.08,0.12,0.12,,,,0,,,,,,,2021,17-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,502,104,75,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12525132+2735131 b,,2MASS J1252+2735,193.2125,27.58694446,12,,,,,197.2,4,4,,,,,,,,,,G8IV,,,,,,,,,2MASS J12525132+2735131
2MASS J1258+2630 b,Confirmed,,0.18,0.31,3.4,0.18,0.31,,,,11.88,0.19,0.19,,,,0.598,0.084,0.084,,,,,2021,17-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,550,120,410,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12582326+2630091 b,,2MASS J1258+2630,194.5958333,26.50250001,12.69,,9.78,9.07,8.89,58.5849,0.1455,0.1455,,,,0.5898,0.02,0.02,0.602,0.0178,0.0178,M1.3V,,,,3825,157,157,,,"2MASS J12582326+2630091, UCAC3 234-106607"
2MASS J2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,,,,,,230,20,20,,,,,,,3.7,2016,17-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J22362452+4751425 b,"CO, H2O",2MASS J2236+4751,339.1041667,47.86194447,12.5,,,,,63,,,,,,0.6,0.05,0.05,,,,K7V,0.12,0.01,0.01,,,,,,2MASS J22362452+4751425
38 Vir b,Confirmed,,0.5,0.5,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,20-02-2017,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.2964895,-3.553099291,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557,96,96,,,"HD 111998, HIP 62875"
41 Com Ab,Confirmed,,1,1,6.3,1,1,,,,610.2,3.8,3.8,1.6,0.1,0.1,0.28,0.12,0.12,,,,,2017,01-08-2024,92.06,17.25,17.25,2455602.4,24,24,,,,,,,,,,,,,,,,,,,120,9,9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 113996 b,,41 Com,196.7958333,27.62472224,4.9,,,,,102,2.5,2.5,0.13,0.08,0.08,1.49,0.18,0.18,25.11,1.2,1.2,K5III,3.24,1.2,1.2,4181,40,40,,,HD 113996
44 Uma b,Confirmed,,0.85,0.2,12.11,0.85,0.2,,,,785.74,4.77,4.8,2.16,0.06,0.02,0.11,0.06,0.06,,,,,2020,26-10-2020,135.6,45.6,40.66,2453560.34,90.8,98.9,,,,,,,,,,,,,,,,,,,158.74,8.62,8.55,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,44 Uma,163.3935503,54.58512741,5.12,,,,,200.4,12.43,14.19,-0.21,0.1,0.1,2.19,0.43,0.1,45.12,2.32,1.97,K3 III,1.05,0.18,0.5,4215,13,13,,,
47 UMa b,Confirmed,,0.06,0.07,2.53,0.06,0.07,,,,1078,2,2,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,20-07-2024,334,23,23,2451917,76,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 UMa c,Confirmed,,0.073,0.066,0.54,0.073,0.066,,,,2391,87,100,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,20-07-2024,295,160,114,2456441,825,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 UMa d,Confirmed,,0.48,0.29,1.64,0.48,0.29,,,,14002,5095,4018,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,20-07-2024,110,160,132,2451736,5051,6783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
51 Eri Ab,Confirmed,4.1,0.5,0.5,,,,1.11,0.13,0.16,10260,1800,6300,11.1,1.3,4.2,0.49,0.15,0.15,136,11,11,,2015,25-03-2025,84,58,58,2452014.79,12,12,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri A,69.40055143,-2.473548598,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.73E-05,3.73E-05,0.052,,,0.0069,0.0066,0.0069,80,10,19,0.003537,1995,01-09-2024,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,4.61,4.66,4.23,3.91,15.4614,0.0297,0.0297,0.18,0.1,0.1,1.03,0.126,0.126,1.176,0.051,0.051,G2IV-V,4,2.5,2.5,5758,110.623,110.623,,,HD 217014
54 Psc b,Confirmed,0.23,0.013,0.297,0.228,0.011,0.011,,,,62.25,0.004,0.004,0.295,0.029,0.029,0.645,0.002,0.002,83,56,56,0.025818,2003,28-05-2024,243,3,3,2453932.6,0.6,0.6,,,,,,,,,,,,,,,,,,,16.6,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"54 Psc Ab, HD 3651 b",,54 Psc,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,IR Excess,,HD 3651
