mass,mass_error_min,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,updated_year,updated_month,updated_day,updated_hour,updated_dayofweek,updated_is_weekend
0.8,0.03,0.82,0.03,0.03,0.178,0.009,0.009,5000.0,400.0,400.0,5.8,0.5,0.5,0.12,0.02,0.02,89.95,0.2,0.5,0.261261,2009,195.0,48.0,48.0,11100.0,600.0,600.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,228.3666667,-25.3091667,6.45,7.96,13.391,13.527,12.826,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,9.7,3.7,3.7,5740.0,23.0,23.0,2024,5,28,0,1,False
0.8,0.11,0.91,0.11,0.11,0.178,0.009,0.009,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,89.95,0.2,0.5,2e-05,2018,210.0,130.0,100.0,2450008.6,7.9,10.1,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,59.9,3.3,3.3,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,217.1625,49.84500003,5.6,7.96,13.391,13.527,12.826,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,6.92,4.8,4.8,4893.0,15.0,15.0,2023,8,7,0,0,False
0.8,0.11,1.84,0.11,0.11,0.178,0.009,0.009,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,89.95,0.2,0.5,0.017821,2010,9.2,165.4,277.9,2454762.0,172.3,172.3,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,33.2,1.6,1.6,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,155.8682058,-0.902243676,7.38,7.96,13.391,13.527,12.826,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,2.7,0.4,0.4,5098.0,44.0,44.0,2021,10,2,0,5,True
0.8,0.2,1.52,0.2,0.2,0.178,0.009,0.009,883.0,14.0,32.0,2.08,0.02,0.05,0.29,0.09,0.16,89.95,0.2,0.5,0.027807,2010,220.5,320.9,182.2,2454930.0,96.5,96.5,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,23.5,2.9,2.9,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,155.8682058,-0.902243676,7.38,7.96,13.391,13.527,12.826,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,2.7,0.4,0.4,5098.0,44.0,44.0,2021,10,2,0,5,True
0.8,0.2,8.3,0.2,1.8,0.178,0.009,0.009,24.31,0.021,0.021,0.036,0.001,0.001,0.681,0.053,0.053,89.95,0.2,0.5,2e-05,2021,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,1070.0,170.0,1450.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,193.2541667,27.57194446,12.0,7.96,13.391,13.527,12.826,39.4,1.0,1.0,0.0,0.1,0.1,1.0,0.04,0.04,0.86,0.02,0.02,4.37,4.0,1.0,5770.0,100.0,100.0,2022,2,8,0,1,False
0.031,0.1,1.9,0.2,0.05,0.178,0.009,0.009,100.0,1e-05,1e-05,0.036,0.001,0.001,0.0,0.03,0.0,90.0,0.2,0.5,2e-05,2025,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,227.699375,-28.30486389,12.0,7.96,13.391,13.527,12.826,35.51,0.02,0.02,0.0,0.1,0.1,0.066,0.04,0.04,0.86,0.02,0.02,4.37,4.0,1.0,5770.0,100.0,100.0,2025,4,18,0,4,False
4.0,0.1,1.9,0.2,0.05,0.178,0.009,0.009,2.5,1e-05,1e-05,118.0,1.3,1.3,0.0,0.03,0.0,89.95,0.2,0.5,2e-05,2021,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1450.0,69.0,0.16,0.03,0.03,3.36,69.3405544,26.850296,15.7,7.96,13.391,13.527,12.826,128.1,0.5,0.5,0.01,0.05,0.05,0.0165,0.0015,0.0015,0.84,0.11,0.11,0.0025,0.0004,0.0004,3100.0,100.0,100.0,2024,7,17,0,2,False
9.0,3.0,1.9,0.2,0.05,0.178,0.009,0.009,2.5,1e-05,1e-05,1043.0,0.001,0.001,0.0,0.03,0.0,89.95,0.2,0.5,2e-05,2024,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,89.56833333,-45.03247222,12.0,7.96,13.391,13.527,12.826,39.4,1.0,1.0,0.0,0.1,0.1,1.0,0.04,0.04,0.86,0.02,0.02,4.37,4.0,1.0,5770.0,100.0,100.0,2025,2,6,0,3,False
10.0,0.1,1.9,0.2,0.05,0.178,0.009,0.009,2.5,1e-05,1e-05,582.0,0.001,0.001,0.0,0.03,0.0,89.95,0.2,0.5,2e-05,2020,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,178.769,-79.32,14.0,7.96,13.391,13.527,12.826,101.15,0.5,0.5,0.0,0.1,0.1,1.0,0.04,0.04,0.86,0.02,0.02,0.005,4.0,1.0,5770.0,100.0,100.0,2025,5,27,0,1,False
0.8,0.64,6.88,0.64,0.21,0.178,0.009,0.009,35.08,0.12,0.12,0.036,0.001,0.001,0.0,0.03,0.0,89.95,0.2,0.5,2e-05,2021,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,502.0,104.0,75.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,193.2125,27.58694446,12.0,7.96,13.391,13.527,12.826,197.2,4.0,4.0,0.0,0.1,0.1,1.0,0.04,0.04,0.86,0.02,0.02,4.37,4.0,1.0,5770.0,100.0,100.0,2024,7,17,0,2,False
0.8,0.18,3.4,0.18,0.31,0.178,0.009,0.009,11.88,0.19,0.19,0.036,0.001,0.001,0.598,0.084,0.084,89.95,0.2,0.5,2e-05,2021,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,550.0,120.0,410.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,194.5958333,26.50250001,12.69,7.96,9.78,9.07,8.89,58.5849,0.1455,0.1455,0.0,0.1,0.1,0.5898,0.02,0.02,0.602,0.0178,0.0178,4.37,4.0,1.0,3825.0,157.0,157.0,2024,7,17,0,2,False
