mass,mass_error_min,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,updated_year,updated_month,updated_day,updated_hour,updated_dayofweek,updated_is_weekend
0.8,0.009,0.05,0.009,0.003,0.178,0.009,0.009,9.02378,0.0012,0.00013,0.085,0.004,0.003,0.47,0.15,0.09,89.95,0.2,0.5,2e-05,2022,107.6,21.0,8.0,2450907.038,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,5.42,5.0,0.3,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,236.8708333,-37.91722224,6.0,7.96,13.391,13.527,12.826,15.2528,0.0112,0.0112,0.09,0.0067,0.0067,0.99,0.1,0.145,0.965,0.05,0.06,4.37,4.0,1.0,5587.0,125.0,153.0,2025,2,11,0,1,False
0.8,5.0,6.284,5.0,1.34,0.178,0.009,0.009,7417.5,571.0,131.0,7.421,0.001,0.001,0.6,0.04,0.03,89.95,0.2,0.5,2e-05,2022,298.0,2.3,10.0,2447736.308,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,15.2,0.4,0.5,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,236.8708333,-37.91722224,6.0,7.96,13.391,13.527,12.826,15.2528,0.0112,0.0112,0.09,0.0067,0.0067,0.99,0.1,0.145,0.965,0.05,0.06,4.37,4.0,1.0,5587.0,125.0,153.0,2025,2,11,0,1,False
0.8,0.03,0.451,0.03,0.03,0.178,0.009,0.009,94.44,0.05,0.05,0.415,0.011,0.011,0.04,0.02,0.02,89.95,0.2,0.5,2e-05,2014,270.0,80.0,80.0,2456998.0,15.0,15.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,236.725,46.98638891,7.2,7.96,13.391,13.527,12.826,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,4.37,4.0,1.0,5600.0,5340.0,5340.0,2016,2,16,0,1,False
0.8,0.08,1.33,0.08,0.08,0.178,0.009,0.009,201.99,0.08,0.08,0.689,0.02,0.02,0.048,0.009,0.009,89.95,0.2,0.5,2e-05,2014,220.0,40.0,40.0,2456838.0,10.0,10.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,44.2,0.5,0.5,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,236.725,46.98638891,7.2,7.96,13.391,13.527,12.826,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,4.37,4.0,1.0,5600.0,5340.0,5340.0,2016,2,17,0,2,False
0.8,0.08,1.18,0.08,0.08,0.178,0.009,0.009,1069.8,6.7,6.7,2.09,0.06,0.06,0.074,0.025,0.025,89.95,0.2,0.5,2e-05,2014,220.0,30.0,30.0,2456923.0,65.0,65.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,22.63,0.6,0.6,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,236.725,46.98638891,7.2,7.96,13.391,13.527,12.826,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,4.37,4.0,1.0,5600.0,5340.0,5340.0,2016,2,17,0,2,False
0.8,0.1,0.66,0.1,0.1,0.178,0.009,0.009,5000.0,2000.0,560.0,5.0,1.5,1.5,0.26,0.22,0.22,89.95,0.2,0.5,2e-05,2014,350.0,20.0,20.0,2458900.0,800.0,800.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,8.8,0.9,0.9,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,236.725,46.98638891,7.2,7.96,13.391,13.527,12.826,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,4.37,4.0,1.0,5600.0,5340.0,5340.0,2016,2,17,0,2,False
4.51,0.61,5.1,1.5,2.6,0.178,0.009,0.009,1933.4,26.645,29.93,2.939,0.062,0.062,0.53,0.18,0.23,71.0,13.0,13.0,0.084472,2005,170.0,10.0,8.0,50941.0,91.0,91.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,242.5625,-84.2313889,7.7,7.96,13.391,13.527,12.826,35.87,1.0,1.0,0.19,0.04,0.04,0.99,0.04,0.04,0.705,0.135,0.135,13.3,3.9,3.9,5382.0,100.0,100.0,2024,8,1,0,3,False
0.8,0.2,1.9,0.2,0.2,0.178,0.009,0.009,1299.0,48.0,48.0,2.77,0.09,0.09,0.32,0.03,0.0,89.95,0.2,0.5,0.025297,2011,234.0,60.0,60.0,2454760.0,240.0,240.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,238.2333333,15.4308333,7.63,7.96,13.391,13.527,12.826,109.5,7.4,7.4,0.23,0.03,0.03,1.69,0.12,0.12,5.2,0.1,0.1,2.3,0.3,0.3,4878.0,44.0,44.0,2024,7,29,0,0,False
0.8,0.1,1.62,0.2,0.05,0.178,0.009,0.009,386.3,1.6,1.6,1.05,0.001,0.001,0.5,0.03,0.0,89.95,0.2,0.5,0.030702,2003,255.0,4.0,4.0,51519.0,4.0,4.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,239.4166667,-60.2,7.34,7.96,13.391,13.527,12.826,34.2,1.0,1.0,0.21,0.05,0.05,1.09,0.04,0.04,1.03,0.02,0.02,1.49,4.0,1.0,5834.0,100.0,100.0,2010,12,28,0,1,False
5.0,0.1,1.9,0.2,0.05,0.178,0.009,0.009,2.5,1e-05,1e-05,75.0,0.001,0.001,0.0,0.03,0.0,89.95,0.2,0.5,2e-05,2023,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,239.1667591,-22.02777941,12.0,7.96,13.391,13.527,12.826,148.0,1.0,1.0,0.0,0.1,0.1,2.0,0.04,0.04,2.2,0.02,0.02,4.37,4.0,1.0,7500.0,143.0,167.0,2025,1,30,0,3,False
0.8,0.15,1.25,0.15,0.15,0.178,0.009,0.009,349.7,1.2,1.2,1.02,0.3,0.3,0.17,0.06,0.06,89.95,0.2,0.5,0.049515,2001,327.0,26.0,26.0,2452683.0,26.0,26.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,1.5791667,-49.075,5.76,7.96,4.69,4.65,4.47,26.1853,0.04475,0.04475,0.105,0.0097,0.0097,1.21,0.169,0.169,1.458,0.055,0.055,5.93,4.0,1.0,6252.0,103.4,103.4,2024,7,28,0,6,True
0.8,0.7,5.3,0.7,0.7,0.178,0.009,0.009,6005.0,477.0,477.0,6.8,0.5,0.5,0.21,0.07,0.07,89.95,0.2,0.5,0.330097,2012,250.0,20.0,20.0,2455954.0,223.0,223.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,1.5791667,-49.075,5.76,7.96,4.69,4.65,4.47,26.1853,0.04475,0.04475,0.105,0.0097,0.0097,1.21,0.169,0.169,1.458,0.055,0.055,5.93,4.0,1.0,6252.0,103.4,103.4,2024,7,28,0,6,True
0.26,0.036,1.9,0.2,0.05,0.178,0.009,0.009,108.5,0.1,0.1,0.474,0.023,0.021,0.13,0.085,0.103,89.95,0.2,0.5,0.022816,2012,89.593,56.789,43.508,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,9.826,0.928,0.936,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,1.5791667,-49.075,5.76,7.96,4.69,4.65,4.47,26.1853,0.04475,0.04475,0.105,0.0097,0.0097,1.21,0.169,0.169,1.458,0.055,0.055,5.93,4.0,1.0,6252.0,103.4,103.4,2024,7,28,0,6,True
0.8,0.06,1.21,0.06,0.06,0.178,0.009,0.009,2.1974,0.0003,0.0003,0.0379,0.0009,0.0009,0.07,0.07,0.0,89.95,0.2,0.5,2e-05,2016,90.0,30.0,40.0,2456531.344,0.007,0.007,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,144.0,2.6,2.6,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,238.4041667,68.72000002,6.75,7.96,13.391,13.527,12.826,48.7,0.8,0.8,0.15,0.04,0.04,1.51,0.11,0.11,0.86,0.02,0.02,4.37,4.0,1.0,6380.0,60.0,60.0,2016,2,17,0,2,False
0.8,1.44,3.12,1.44,1.44,0.178,0.009,0.009,1057.0,20.0,20.0,2.0,0.001,0.001,0.15,0.17,0.17,89.95,0.2,0.5,0.033698,2008,237.0,55.0,55.0,3746.0,147.0,147.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,240.4583333,-44.4344444,9.2,7.96,13.391,13.527,12.826,59.35,1.0,1.0,0.29,0.1,0.1,0.95,0.04,0.04,0.86,0.02,0.02,4.37,4.0,1.0,5770.0,100.0,100.0,2024,7,30,0,1,False
0.8,0.016,0.064,0.016,0.021,0.178,0.009,0.009,40.4,0.05,0.03,0.242,0.012,0.011,0.821,0.171,0.078,89.95,0.2,0.5,2e-05,2022,113.612,1.551,1.403,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,6.008,0.066,0.074,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,242.5727193,-47.91430013,8.97,7.595,7.855,13.527,7.499,115.665,0.5095,0.5095,0.0,0.1,0.1,1.16,0.1639,0.1639,1.648,0.0781,0.0781,4.37,4.0,1.0,6126.0,136.74,136.74,2024,7,28,0,6,True
0.8,0.1,5.76,0.1,0.1,0.178,0.009,0.009,103.95,0.13,0.13,0.45,0.004,0.004,0.307,0.017,0.017,89.95,0.2,0.5,0.007799,2008,138.1,2.8,2.8,54635.4,0.6,0.6,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,242.9,-27.0780556,8.12,7.96,13.391,13.527,12.826,57.7,3.0,3.0,0.12,0.01,0.01,1.12,0.03,0.03,1.14,0.02,0.02,1.3,1.0,1.0,6046.0,15.0,15.0,2008,10,27,0,0,False
0.8,0.1,2.9,0.2,0.05,0.178,0.009,0.009,176.3,0.39,0.39,0.76,0.001,0.001,0.112,3.1,3.1,89.95,0.2,0.5,0.006032,2010,300.0,26.0,26.0,3518.0,13.0,13.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,242.5166667,26.7427778,6.57,7.96,13.391,13.527,12.826,126.0,10.0,10.0,-0.14,0.09,0.09,1.9,0.3,0.3,9.9,0.5,0.5,4.37,4.0,1.0,4757.0,100.0,100.0,2010,5,17,0,0,False
2.072,0.048,2.28,0.6,0.6,0.178,0.009,0.009,2751.5,49.3,48.8,4.89,0.113,0.108,0.078,0.027,0.009,81.958,41.759,40.879,2e-05,2015,186.316,92.493,60.943,2451430.0,370.0,370.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,18.427,1.388,1.418,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,243.2916667,13.23944445,8.49,7.96,6.758,6.234,6.145,227.881,2.3975,2.3975,0.15,0.03,0.03,1.748,0.1,0.1,6.624,0.02,0.02,4.37,4.0,1.0,4899.0,44.0,44.0,2025,2,11,0,1,False
0.8,0.0019,0.0203,0.0019,0.0019,0.178,0.009,0.009,5.7715,0.0004,0.0004,0.0634,0.0022,0.0022,0.11,0.07,0.07,89.95,0.2,0.5,0.002711,2009,90.0,30.0,40.0,2450366.936,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.26,0.15,0.15,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,4.675,-8.0530556,6.64,7.96,13.391,13.527,12.826,23.4,0.5,0.5,0.19,0.01,0.01,1.02,0.04,0.04,1.095,0.026,0.026,6.3,4.0,1.0,5765.0,18.0,18.0,2019,2,12,0,1,False
0.8,0.0023,0.0176,0.0023,0.0023,0.178,0.009,0.009,13.506,0.003,0.003,0.1117,0.0039,0.0039,0.15,0.1,0.1,89.95,0.2,0.5,0.004774,2011,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,1.6,0.16,0.16,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,4.675,-8.0530556,6.64,7.96,13.391,13.527,12.826,23.4,0.5,0.5,0.19,0.01,0.01,1.02,0.04,0.04,1.095,0.026,0.026,6.3,4.0,1.0,5765.0,18.0,18.0,2019,2,12,0,1,False
0.8,0.07,2.12,0.07,0.07,0.178,0.009,0.009,44.236,0.008,0.008,0.2388,0.0039,0.0039,0.4686,0.0081,0.0081,89.95,0.2,0.5,0.005559,2009,335.97,1.23,1.23,4459.49,0.1,0.1,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,245.75,-61.6888889,8.3,7.96,13.391,13.527,12.826,42.96,1.6,1.6,0.1,0.05,0.05,0.927,0.031,0.031,0.86,0.02,0.02,6.36,4.33,4.33,5441.0,55.0,55.0,2013,5,20,0,0,False
0.8,0.32,6.56,0.32,0.32,0.178,0.009,0.009,1008.0,18.0,18.0,1.922,0.039,0.039,0.133,0.011,0.011,89.95,0.2,0.5,0.044739,2009,226.9,6.9,6.9,55301.0,22.0,22.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,245.75,-61.6888889,8.3,7.96,13.391,13.527,12.826,42.96,1.6,1.6,0.1,0.05,0.05,0.927,0.031,0.031,0.86,0.02,0.02,6.36,4.33,4.33,5441.0,55.0,55.0,2013,5,20,0,0,False
0.8,0.0035,0.068,0.0035,0.0035,0.178,0.009,0.009,86.58,0.14,0.14,0.323,0.006,0.006,0.136,0.08,0.085,89.95,0.2,0.5,2e-05,2018,2.3,46.0,51.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,4.49,0.22,0.22,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,244.1791667,67.2388889,8.9,7.96,13.391,13.527,12.826,10.735,0.026,0.026,0.16,0.16,0.16,0.58,0.08,0.08,0.57,0.06,0.06,4.37,4.0,1.0,4090.0,50.0,50.0,2024,9,10,0,1,False
0.8,0.1,1.21,0.2,0.05,0.178,0.009,0.009,528.4,6.3,6.3,1.32,0.001,0.001,0.26,0.05,0.05,89.95,0.2,0.5,0.102326,2003,282.0,9.0,9.0,51672.0,11.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,246.0041667,-39.1927778,5.37,7.96,13.391,13.527,12.826,12.9,1.0,1.0,-0.03,0.1,0.1,0.92,0.04,0.04,1.0,0.02,0.02,0.65,4.0,1.0,5701.0,100.0,100.0,2024,8,1,0,3,False
0.8,0.34,5.14,0.34,0.34,0.178,0.009,0.009,116.596,0.023,0.023,0.522,0.018,0.018,0.207,0.013,0.013,89.95,0.2,0.5,2e-05,2016,80.0,3.0,3.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,171.5,1.2,1.2,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,246.4381437,-33.56712361,7.96,7.96,13.391,13.527,12.826,104.93,10.9,10.9,-0.03,0.1,0.1,1.38,0.05,0.05,2.29,0.1,0.1,4.0,3.0,3.0,5972.0,100.0,100.0,2024,8,1,0,3,False
0.8,0.18,2.3,0.18,0.18,0.178,0.009,0.009,491.54,0.79,0.79,1.36,0.05,0.05,0.23,0.03,0.03,89.95,0.2,0.5,2e-05,2016,42.0,11.0,11.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,47.9,1.7,1.7,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,246.4381437,-33.56712361,7.96,7.96,13.391,13.527,12.826,104.93,10.9,10.9,-0.03,0.1,0.1,1.38,0.05,0.05,2.29,0.1,0.1,4.0,3.0,3.0,5972.0,100.0,100.0,2024,8,1,0,3,False
0.8,0.069,1.121,0.069,0.069,1.25,0.009,0.009,676.6,8.1,8.1,1.7,0.17,0.17,0.155,0.073,0.073,89.95,0.2,0.5,2e-05,2018,343.0,28.0,28.0,2455555.0,49.0,49.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,20.7,1.3,1.3,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,35.80856,10.83675,7.63,7.96,13.391,13.527,12.826,119.5,1.0,1.0,0.0,0.1,0.1,1.43,0.04,0.04,5.01,0.02,0.02,4.37,4.0,1.0,4942.0,100.0,100.0,2018,12,20,0,3,False
0.8,0.05,0.85,0.05,0.06,0.178,0.009,0.009,1010.0,1e-05,1e-05,2.45,0.05,0.05,0.52,0.09,0.09,89.95,0.2,0.5,0.046183,2009,35.0,12.0,12.0,4707.0,20.0,20.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,247.0708333,-46.3175,7.69,7.96,13.391,13.527,12.826,53.05,2.9,2.9,0.29,0.02,0.02,1.22,0.04,0.04,1.21,0.03,0.03,4.37,4.0,1.0,6308.0,28.0,28.0,2010,9,8,0,2,False
0.8,0.82,5.16,0.82,0.82,0.178,0.009,0.009,5062.0,114.0,114.0,6.15,0.5,0.5,0.125,0.017,0.017,89.95,0.2,0.5,2e-05,2018,152.0,11.0,11.0,2464193.0,155.0,155.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,54.28,0.89,0.89,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,246.4375,11.91916669,8.23,7.96,13.391,13.527,12.826,72.0,1.0,1.0,0.24,0.1,0.1,1.21,0.24,0.24,1.34,0.1,0.1,2.41,0.81,0.81,6032.0,100.0,100.0,2018,9,18,0,1,False
0.8,0.25,1.23,0.25,0.25,0.178,0.009,0.009,328.55,0.41,0.41,0.993,0.066,0.066,0.587,0.026,0.026,89.95,0.2,0.5,2e-05,2018,141.5,2.7,2.7,2463472.7,4.7,4.7,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,39.6,1.7,1.7,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,246.4375,11.91916669,8.23,7.96,13.391,13.527,12.826,72.0,1.0,1.0,0.24,0.1,0.1,1.21,0.24,0.24,1.34,0.1,0.1,2.41,0.81,0.81,6032.0,100.0,100.0,2018,9,18,0,1,False
0.28,0.03,1.9,0.2,0.05,0.74,0.02,0.02,2.8758916,1.4e-06,1.4e-06,0.041,0.002,0.002,0.013,0.013,0.0,84.1,0.5,0.5,0.000543,2005,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454456.788,0.00016,0.00016,2454717.65,0.0007,0.00041,2.5,0.33,0.36,0.41,0.23,0.23,0.35,0.1,0.1,38.3,3.1,3.1,1634.0,20.0,90.0,1050.0,69.0,0.16,0.03,0.03,3.36,247.6208333,38.3472222,8.15,7.96,13.391,13.527,12.826,78.9,6.6,6.6,0.36,0.05,0.05,1.3,0.1,0.1,1.497,0.069,0.069,2.0,0.8,0.8,6147.0,50.0,50.0,2024,10,21,0,0,False
0.8,0.1,1.33,0.2,0.05,1.05,0.009,0.009,4.07206,0.000320041,0.000320041,0.052,0.001,0.001,0.0123,0.0093,0.0115,89.95,0.2,0.5,0.000825,2005,204.8,55.9,55.9,2453413.1,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,149.28,1.65,1.65,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,248.2125,2.0847222,7.9,7.96,13.391,13.527,12.826,63.0,1.0,1.0,0.26,0.05,0.05,1.1,0.1,0.1,0.86,0.02,0.02,7.6,1.2,1.2,5730.0,150.0,150.0,2015,2,27,0,4,False
12.597,2.782,1.9,0.2,0.05,0.178,0.009,0.009,16521.5,3696.6,6426.2,12.404,2.056,3.103,0.357,0.236,0.162,13.574,1.48,1.705,2e-05,2022,53.02,39.668,20.059,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,26.445,5.405,5.432,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,249.2851166,0.254340414,7.065,8.71,5.693,5.31,5.183,20.2727,0.0179,0.0179,0.22,0.0257,0.0257,0.93,0.118,0.118,0.877,0.0504,0.0504,4.37,4.0,1.0,5352.05,129.641,129.641,2024,7,28,0,6,True
0.8,0.4,2.4,0.4,0.4,0.178,0.009,0.009,562.0,8.0,8.0,1.4,0.1,0.1,0.2,0.1,0.1,89.95,0.2,0.5,2e-05,2022,137.0,91.0,91.0,2459811.0,175.0,175.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,52.0,8.0,8.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,247.8666667,72.61250002,6.31,7.96,4.125,3.461,3.177,144.49,0.67,0.67,-0.25,0.22,0.22,1.3,0.1,0.1,16.2,0.4,0.4,4.9,1.1,1.1,4153.0,83.0,83.0,2024,7,28,0,6,True
0.8,0.16,2.75,0.16,0.16,1.183,0.009,0.009,428.5,1.2,1.2,1.262,0.092,0.092,0.031,0.022,0.022,89.95,0.2,0.5,0.008239,2011,126.0,58.0,58.0,2455170.0,67.0,67.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,57.5,3.3,3.3,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,4.821109911,14.05475594,8.36,7.96,13.391,13.527,12.826,159.0,19.0,19.0,0.09,0.03,0.03,1.46,0.11,0.11,4.67,0.1,0.1,2.4,0.5,0.5,4947.0,44.0,44.0,2018,12,30,0,6,True
